batch_size,num_steps,num_epochs,leak_mem,conv_neuron_flops,conv_flops,conv_bn_flops,pool_flops,fc_neuron_flops,fc_flops,fc_bn_flops,total_flops
64,10,50,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,10,0.975,0.006319039999999948,0.06784127670240805,0.022116640000000583,0.00015102711040526628,6.34880000000072e-05,0.01934765838086605,0.005444095999999491,0.12128322571516037
8,1,10,0.98,0.006319039999999948,0.0644333289876721,0.022116640000000583,0.00014879567606840283,6.34880000000072e-05,0.019062044098973274,0.005444095999999491,0.11758742481470108
8,1,10,0.985,0.006319039999999948,0.061957493837921,0.022116640000000583,0.00016360847803298384,6.34880000000072e-05,0.020957855507731438,0.005444095999999491,0.11702221632003784
8,1,10,0.99,0.006319039999999948,0.07435987331835336,0.022116640000000583,0.00016455075819976628,6.34880000000072e-05,0.021079033613204956,0.005444095999999491,0.12954673171043396
8,1,10,0.995,0.006319039999999948,0.06636009598910265,0.022116640000000583,0.00016849885287228972,6.34880000000072e-05,0.021583301946520805,0.005444095999999491,0.12205516546964645
8,1,25,0.975,0.015797599999997542,0.12868407821725839,0.0552915999999831,0.00038958791992627084,0.00015872000000001827,0.04991747811436653,0.013610239999998037,0.26384931802749634
8,1,25,0.98,0.015797599999997542,0.1262670320720674,0.0552915999999831,0.00035664057941175997,0.00015872000000001827,0.04568978026509285,0.013610239999998037,0.257171630859375
8,1,25,0.985,0.015797599999997542,0.12875661490657186,0.0552915999999831,0.00037597911432385445,0.00015872000000001827,0.04816969856619835,0.013610239999998037,0.2621604800224304
8,1,25,0.99,0.015797599999997542,0.12889547114643438,0.0552915999999831,0.00035364614450372756,0.00015872000000001827,0.04531710967421532,0.013610239999998037,0.2594243884086609
8,1,25,0.995,0.015797599999997542,0.11875280614541596,0.0552915999999831,0.0003418226551730186,0.00015872000000001827,0.04379817843437195,0.013610239999998037,0.24775096774101257
8,1,5,0.975,0.003159520000000353,0.0399656560364251,0.011058319999999447,9.234210301656276e-05,3.1743999999999485e-05,0.01182861253619194,0.0027220479999999748,0.06885824352502823
8,1,5,0.98,0.003159520000000353,0.04047436937974194,0.011058319999999447,0.0001061241709976457,3.1743999999999485e-05,0.013592279516160488,0.0027220479999999748,0.07114440202713013
8,1,5,0.985,0.003159520000000353,0.035956099024119045,0.011058319999999447,8.644279296277091e-05,3.1743999999999485e-05,0.011073741130530834,0.0027220479999999748,0.06408791244029999
8,1,5,0.99,0.003159520000000353,0.041217543253375934,0.011058319999999447,0.00010756271512946114,3.1743999999999485e-05,0.013776473701000214,0.0027220479999999748,0.07207321375608444
8,1,5,0.995,0.003159520000000353,0.04098191630884135,0.011058319999999447,9.689643775345758e-05,3.1743999999999485e-05,0.012411502189934254,0.0027220479999999748,0.0704619437456131
8,1,50,0.975,0.03159519999999206,0.19613495266046593,0.11058320000005237,0.0006084376364015043,0.00031744000000019824,0.07795346528291702,0.027220479999995616,0.4444131851196289
8,1,50,0.98,0.03159519999999206,0.1970974688036896,0.11058320000005237,0.00059318303829059,0.00031744000000019824,0.07600194215774536,0.027220479999995616,0.44340893626213074
8,1,50,0.985,0.03159519999999206,0.21610746276749246,0.11058320000005237,0.0005747739924117923,0.00031744000000019824,0.07364261150360107,0.027220479999995616,0.46004119515419006
8,1,50,0.99,0.03159519999999206,0.21393723733538011,0.11058320000005237,0.0005926686571910977,0.00031744000000019824,0.07593885064125061,0.027220479999995616,0.46018511056900024
8,1,50,0.995,0.03159519999999206,0.20604506197693506,0.11058320000005237,0.0006130115943960845,0.00031744000000019824,0.07853508740663528,0.027220479999995616,0.45490947365760803
8,10,10,0.975,0.06319039999985547,1.42513926917011,0.22116640000022594,0.004081614315509796,0.0006348800000005581,0.5225569009780884,0.05444096000010531,2.291210412979126
8,10,10,0.98,0.06319039999985547,1.3962262657483029,0.22116640000022594,0.004057955462485552,0.0006348800000005581,0.5195191502571106,0.05444096000010531,2.2592360973358154
8,10,10,0.985,0.06319039999985547,1.4642625808685445,0.22116640000022594,0.004115029703825712,0.0006348800000005581,0.5268265604972839,0.05444096000010531,2.334636926651001
8,10,10,0.99,0.06319039999985547,1.4798610019211305,0.22116640000022594,0.004358977545052767,0.0006348800000005581,0.5580518841743469,0.05444096000010531,2.381704568862915
8,10,10,0.995,0.06319039999985547,1.6535216219042412,0.22116640000022594,0.004045393317937851,0.0006348800000005581,0.5179218649864197,0.05444096000010531,2.5149214267730713
8,10,25,0.975,0.15797600000079598,2.4917966086341727,0.5529159999978005,0.006371295545250177,0.001587200000001638,0.8156276941299438,0.13610239999976706,4.162376880645752
8,10,25,0.98,0.15797600000079598,2.1726375291538416,0.5529159999978005,0.006733455695211887,0.001587200000001638,0.8619856238365173,0.13610239999976706,3.8899381160736084
8,10,25,0.985,0.15797600000079598,2.2372319620068484,0.5529159999978005,0.006955032702535391,0.001587200000001638,0.8903506398200989,0.13610239999976706,3.983119249343872
8,10,25,0.99,0.15797600000079598,2.137107493210873,0.5529159999978005,0.0067688338458538055,0.001587200000001638,0.8665215969085693,0.13610239999976706,3.8589797019958496
8,10,25,0.995,0.15797600000079598,2.388538219395888,0.5529159999978005,0.006812127307057381,0.001587200000001638,0.8720548748970032,0.13610239999976706,4.1159868240356445
8,10,5,0.975,0.03159519999999206,0.9175613078927436,0.11058320000005237,0.002228599274531007,0.00031744000000019824,0.2853725254535675,0.027220479999995616,1.3748787641525269
