batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_acc
64,0.05,0.995,5,5,0.056724563658237456,94.4140625
64,0.05,0.99,5,5,0.05459268546601136,95.83984375
64,0.05,0.985,5,5,0.05605817370613416,93.8671875
64,0.05,0.98,5,5,0.056419689347346626,96.42578125
64,0.05,0.995,10,5,0.026320177234709263,95.9765625
64,0.05,0.99,10,5,0.02380322901904583,96.328125
64,0.05,0.985,10,5,0.030358488137523332,95.05859375
64,0.05,0.98,10,5,0.02952390544116497,95.4296875
64,0.05,0.995,25,5,0.018210875908533732,96.5625
64,0.05,0.99,25,5,0.01668529009570678,96.42578125
64,0.05,0.985,25,5,0.015305273863176505,96.42578125
64,0.05,0.98,25,5,0.01787839240580797,96.5234375
64,0.05,0.995,50,5,0.015940266081442434,96.62109375
64,0.05,0.99,50,5,0.01746870087708036,96.71875
64,0.05,0.985,50,5,0.023410837555925053,96.23046875
64,0.05,0.98,50,5,0.016575378666321437,96.171875
