batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_acc
64,0.01,0.995,5,5,0.12093409295876821,93.22265625
64,0.01,0.99,5,5,0.1145580018957456,93.7890625
64,0.01,0.985,5,5,0.1172833881576856,93.671875
64,0.01,0.98,5,5,0.1200310165087382,93.06640625
64,0.01,0.995,10,5,0.06766803535819053,94.94140625
64,0.01,0.99,10,5,0.07198067797223727,93.80859375
64,0.01,0.985,10,5,0.06643021174271901,95.64453125
64,0.01,0.98,10,5,0.06400221951802572,95.25390625
64,0.01,0.995,25,5,0.02194917065401872,96.42578125
64,0.01,0.99,25,5,0.022830068039397397,96.1328125
64,0.01,0.985,25,5,0.02764137108127276,96.23046875
64,0.01,0.98,25,5,0.026871986826260883,95.546875
64,0.01,0.995,50,5,0.0196258273050189,96.62109375
64,0.01,0.99,50,5,0.01644607328871886,96.42578125
64,0.01,0.985,50,5,0.01585367906590303,96.5234375
64,0.01,0.98,50,5,0.017846188983569544,96.03515625
64,0.01,0.995,5,10,0.0847087405025959,94.12109375
64,0.01,0.99,5,10,0.08433499282598496,94.1796875
64,0.01,0.985,5,10,0.08156017847855886,94.35546875
64,0.01,0.98,5,10,0.0815879224340121,94.70703125
64,0.01,0.995,10,10,0.03763689835866292,95.09765625
64,0.01,0.99,10,10,0.0374187484284242,95.87890625
64,0.01,0.985,10,10,0.044749073207378386,95.0390625
64,0.01,0.98,10,10,0.04014571889241537,94.1796875
64,0.01,0.995,25,10,0.013794540030260882,96.3671875
64,0.01,0.99,25,10,0.012441896760215362,96.5234375
64,0.01,0.985,25,10,0.013695096244414647,95.83984375
64,0.01,0.98,25,10,0.012880544583002727,96.1328125
64,0.01,0.995,50,10,0.007995286795621117,96.62109375
64,0.01,0.99,50,10,0.008597512630124886,96.81640625
64,0.01,0.985,50,10,0.009429859157030781,96.23046875
64,0.01,0.98,50,10,0.008012929451962312,96.81640625
64,0.01,0.995,5,25,0.02674355496962865,95.390625
64,0.01,0.99,5,25,0.02568465709686279,95.68359375
64,0.01,0.985,5,25,0.022365711828072867,95.72265625
64,0.01,0.98,5,25,0.023281487608949342,95.3515625
64,0.01,0.995,10,25,0.010193866732219855,96.23046875
64,0.01,0.99,10,25,0.010449612131963174,95.5859375
64,0.01,0.985,10,25,0.00981857580691576,96.1328125
64,0.01,0.98,10,25,0.010039666684965292,95.1953125
64,0.01,0.995,25,25,0.0035037316537151735,97.109375
64,0.01,0.99,25,25,0.00345606126387914,96.81640625
64,0.01,0.985,25,25,0.0036433193075160186,96.62109375
64,0.01,0.98,25,25,0.0036235733442008494,96.81640625
64,0.01,0.995,50,25,0.0022356174858286977,97.01171875
64,0.01,0.99,50,25,0.002122686807687084,97.20703125
64,0.01,0.985,50,25,0.002385718759770195,96.42578125
64,0.01,0.98,50,25,0.0023456571800634265,97.109375
64,0.01,0.995,5,50,0.020359840285032987,95.9765625
64,0.01,0.99,5,50,0.020614071652293207,95.44921875
64,0.01,0.985,5,50,0.01893686682730913,96.1328125
64,0.01,0.98,5,50,0.020283884080747765,95.3515625
64,0.01,0.995,10,50,0.0077376033589243885,96.23046875
64,0.01,0.99,10,50,0.00868364043533802,95.83984375
64,0.01,0.985,10,50,0.008934551745653153,95.7421875
64,0.01,0.98,10,50,0.007902176716675362,96.07421875
64,0.01,0.995,25,50,0.0029035231191664934,96.81640625
64,0.01,0.99,25,50,0.0030926763154566286,97.01171875
64,0.01,0.985,25,50,0.0033703607010344664,97.24609375
64,0.01,0.98,25,50,0.0031998569071292875,96.81640625
64,0.01,0.995,50,50,0.0017048585986097653,96.62109375
64,0.01,0.99,50,50,0.0020619336928551397,96.81640625
64,0.01,0.985,50,50,0.001859774222287039,96.9140625
64,0.01,0.98,50,50,0.00205153214558959,97.01171875
