batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_acc
32,0.2,0.995,5,5,0.09904879212751985,94.82421875
32,0.2,0.99,5,5,0.08984846944268793,94.921875
32,0.2,0.985,5,5,0.07576601187853764,95.3125
32,0.2,0.98,5,5,0.08357057466163921,94.23828125
32,0.2,0.995,10,5,0.06070081869716523,94.43359375
32,0.2,0.99,10,5,0.07702366734681224,95.21484375
32,0.2,0.985,10,5,0.06360182609110294,95.80078125
32,0.2,0.98,10,5,0.08808950363347928,94.62890625
32,0.2,0.995,25,5,0.11026707468631988,95.80078125
32,0.2,0.99,25,5,0.09070462403295096,95.80078125
32,0.2,0.985,25,5,0.09272023734343626,95.01953125
32,0.2,0.98,25,5,0.06885939134606936,96.19140625
32,0.2,0.995,50,5,0.07281549224304035,94.23828125
32,0.2,0.99,50,5,0.0699249671929671,94.921875
32,0.2,0.985,50,5,0.08093482464086264,94.921875
32,0.2,0.98,50,5,0.07874216532094094,94.3359375
