batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_accuracy
32,0.2,0.99,5,5,0.09312541442465347,94.62890625
32,0.2,0.99,5,10,0.03410299832024612,96.58203125
32,0.2,0.99,5,25,0.016601288369546333,96.6796875
32,0.2,0.99,5,50,0.006541201499911646,96.97265625
32,0.2,0.985,5,5,0.08440142144239507,94.921875
32,0.2,0.985,5,10,0.02369027944436918,96.875
32,0.2,0.985,5,25,0.01720049798923234,96.6796875
32,0.2,0.985,5,50,0.0076792464141423504,97.8515625
32,0.2,0.98,5,5,0.08457772839333241,95.1171875
32,0.2,0.98,5,10,0.025073279046065485,96.97265625
32,0.2,0.98,5,25,0.014100777409349879,97.265625
32,0.2,0.98,5,50,0.006396940058097243,96.875
32,0.2,0.975,5,5,0.0766789052959648,95.01953125
32,0.2,0.975,5,10,0.02939506920124404,95.8984375
32,0.2,0.975,5,25,0.016530677536502482,96.97265625
32,0.2,0.975,5,50,0.008986744879744947,97.36328125
32,0.2,0.99,10,5,0.09881330300021607,94.43359375
32,0.2,0.99,10,10,0.014123070180028056,96.875
32,0.2,0.99,10,25,0.0145502490180855,96.77734375
32,0.2,0.99,10,50,0.004655609194344531,98.14453125
32,0.2,0.985,10,5,0.08447346625577969,95.21484375
32,0.2,0.985,10,10,0.025926915200582396,96.6796875
32,0.2,0.985,10,25,0.011572994471217195,97.65625
32,0.2,0.985,10,50,0.004413281583227217,97.8515625
32,0.2,0.98,10,5,0.0688750331439854,95.1171875
32,0.2,0.98,10,10,0.01678998043143656,96.77734375
32,0.2,0.98,10,25,0.010861803605221211,96.58203125
32,0.2,0.98,10,50,0.0042270657246311506,97.55859375
32,0.2,0.975,10,5,0.08955395707911036,95.21484375
32,0.2,0.975,10,10,0.012688395326491445,95.99609375
32,0.2,0.975,10,25,0.009955346132939061,96.97265625
32,0.2,0.975,10,50,0.003974547159858048,97.36328125
32,0.2,0.99,20,5,0.08508684289990924,95.21484375
32,0.2,0.99,20,10,0.012823659026221625,97.55859375
32,0.2,0.99,20,25,0.006556539416934053,96.77734375
32,0.2,0.99,20,50,0.0031386254696796336,97.55859375
32,0.2,0.985,20,5,0.08414752165868412,96.484375
32,0.2,0.985,20,10,0.01341008844835839,95.8984375
32,0.2,0.985,20,25,0.006585748619710406,97.4609375
32,0.2,0.985,20,50,0.003268866649673631,98.046875
32,0.2,0.98,20,5,0.08070432506327052,95.60546875
32,0.2,0.98,20,10,0.011238908832902477,96.97265625
32,0.2,0.98,20,25,0.008633021145903816,96.97265625
32,0.2,0.98,20,50,0.003440450356497119,98.33984375
32,0.2,0.975,20,5,0.08506698918497811,95.80078125
32,0.2,0.975,20,10,0.03381971084877538,97.36328125
32,0.2,0.975,20,25,0.006365138227430483,97.4609375
32,0.2,0.975,20,50,0.0029452064690801004,97.94921875
32,0.2,0.99,40,5,0.13327516723804486,95.703125
32,0.2,0.99,40,10,0.025568892606825103,96.38671875
32,0.2,0.99,40,25,0.007171799098141491,97.0703125
32,0.2,0.99,40,50,0.002906314433241884,98.046875
32,0.2,0.985,40,5,0.10356344859026527,96.19140625
32,0.2,0.985,40,10,0.012812132300129937,97.265625
32,0.2,0.985,40,25,0.0057631509692097705,97.4609375
32,0.2,0.985,40,50,0.0034088529290941852,97.75390625
32,0.2,0.98,40,5,0.0863170438487238,96.77734375
32,0.2,0.98,40,10,0.01850581759835283,96.6796875
32,0.2,0.98,40,25,0.013199888715675722,96.2890625
32,0.2,0.98,40,50,0.0032397646171351273,97.65625
32,0.2,0.975,40,5,0.10278675206870927,94.62890625
32,0.2,0.975,40,10,0.018156286084966267,95.99609375
32,0.2,0.975,40,25,0.009312813371419907,97.36328125
32,0.2,0.975,40,50,0.0028754017151271303,97.16796875
32,0.1,0.99,5,5,0.06073725388944149,95.3125
32,0.1,0.99,5,10,0.026829957798744242,96.6796875
32,0.1,0.99,5,25,0.008126516302737096,96.58203125
32,0.1,0.99,5,50,0.004390404096494119,97.265625
32,0.1,0.985,5,5,0.06818760184198618,96.09375
32,0.1,0.985,5,10,0.02477663536525021,95.99609375
32,0.1,0.985,5,25,0.010309251037271072,97.0703125
32,0.1,0.985,5,50,0.004111327737104147,97.65625
32,0.1,0.98,5,5,0.0637238626976808,95.01953125
32,0.1,0.98,5,10,0.02244240937490637,95.99609375
32,0.1,0.98,5,25,0.00890632324355344,97.36328125
32,0.1,0.98,5,50,0.004686227707502742,96.97265625
32,0.1,0.975,5,5,0.04841662809314827,95.01953125
32,0.1,0.975,5,10,0.025603818299093594,96.38671875
32,0.1,0.975,5,25,0.005947826464350025,97.36328125
32,0.1,0.975,5,50,0.004351672693621367,96.6796875
32,0.1,0.99,10,5,0.03349881685556223,96.19140625
32,0.1,0.99,10,10,0.014873264731063197,96.97265625
32,0.1,0.99,10,25,0.0046969036407923945,97.36328125
32,0.1,0.99,10,50,0.00265302823871995,97.4609375
32,0.1,0.985,10,5,0.05646720126395424,95.99609375
32,0.1,0.985,10,10,0.017136088750635586,96.484375
32,0.1,0.985,10,25,0.006445043926748137,96.6796875
32,0.1,0.985,10,50,0.002512353806057945,97.94921875
32,0.1,0.98,10,5,0.04451895213437577,95.99609375
32,0.1,0.98,10,10,0.01473213151912205,96.2890625
32,0.1,0.98,10,25,0.0037805963884262987,96.6796875
32,0.1,0.98,10,50,0.002612993106013164,96.875
32,0.1,0.975,10,5,0.043355831034015864,95.703125
32,0.1,0.975,10,10,0.014945050737975786,96.97265625
32,0.1,0.975,10,25,0.004815711558330804,97.16796875
32,0.1,0.975,10,50,0.002216544537106529,97.4609375
32,0.1,0.99,20,5,0.04963373530578489,96.6796875
32,0.1,0.99,20,10,0.008656991125550122,97.0703125
32,0.1,0.99,20,25,0.005006619922816753,97.36328125
32,0.1,0.99,20,50,0.001992255718757709,97.55859375
32,0.1,0.985,20,5,0.03386417961772531,96.2890625
32,0.1,0.985,20,10,0.010594753355719149,96.97265625
32,0.1,0.985,20,25,0.0036109940682460245,97.4609375
32,0.1,0.985,20,50,0.002216329963024085,97.65625
32,0.1,0.98,20,5,0.03223579034364472,96.2890625
32,0.1,0.98,20,10,0.00846296105060416,97.36328125
32,0.1,0.98,20,25,0.005700102178535114,97.4609375
32,0.1,0.98,20,50,0.0020206583878801514,97.55859375
32,0.1,0.975,20,5,0.03118716990148338,96.97265625
32,0.1,0.975,20,10,0.00889072663942352,96.77734375
32,0.1,0.975,20,25,0.0035539875860946873,97.0703125
32,0.1,0.975,20,50,0.0018895492583978922,97.16796875
32,0.1,0.99,40,5,0.04404721803714832,96.38671875
32,0.1,0.99,40,10,0.009469049456412904,96.6796875
32,0.1,0.99,40,25,0.0032692172626654307,97.65625
32,0.1,0.99,40,50,0.0021087044354062526,97.94921875
32,0.1,0.985,40,5,0.037199351705921195,96.484375
32,0.1,0.985,40,10,0.010376889681133131,96.77734375
32,0.1,0.985,40,25,0.005067199162517985,97.55859375
32,0.1,0.985,40,50,0.0018613204635524502,97.65625
32,0.1,0.98,40,5,0.040062873038152855,96.58203125
32,0.1,0.98,40,10,0.008790094607664892,96.38671875
32,0.1,0.98,40,25,0.003226077537362774,97.0703125
32,0.1,0.98,40,50,0.0022121200175800673,97.265625
