batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_acc
128,0.1,0.995,50,10,0.007271279049416383,96.46935081481934
128,0.1,0.99,50,10,0.0067242106385529046,96.66466331481934
128,0.1,0.985,50,10,0.005742770187556744,96.49188709259033
128,0.1,0.98,50,10,0.007080631899336974,96.39423084259033
128,0.1,0.995,5,25,0.007830809962004423,95.83082866668701
128,0.1,0.99,5,25,0.007151175198455651,96.39423084259033
128,0.1,0.985,5,25,0.006823123237739007,96.15384578704834
128,0.1,0.98,5,25,0.006585656439264616,96.39423084259033
128,0.1,0.995,10,25,0.0024057813715189697,96.88251209259033
128,0.1,0.99,10,25,0.0024650029049565394,96.88251209259033
128,0.1,0.985,10,25,0.0027449326617643237,96.27403831481934
128,0.1,0.98,10,25,0.002526480132093032,97.00270366668701
128,0.1,0.995,25,25,0.0014177460043380658,97.49098491668701
128,0.1,0.99,25,25,0.0015629278734947244,96.64212703704834
128,0.1,0.985,25,25,0.0015884770462289452,97.46844959259033
128,0.1,0.98,25,25,0.0013804809435581167,96.66466331481934
128,0.1,0.995,50,25,0.0014557567297791441,96.78485584259033
128,0.1,0.99,50,25,0.0016109215822070837,96.46935081481934
128,0.1,0.985,50,25,0.0015916951916490991,96.46935081481934
128,0.1,0.98,50,25,0.0017949851294979454,96.66466331481934
128,0.1,0.995,5,50,0.004500119077662627,96.00360584259033
128,0.1,0.99,5,50,0.0049998853908230865,96.56700706481934
128,0.1,0.985,5,50,0.00459624035594364,96.37169456481934
128,0.1,0.98,5,50,0.004615910428886612,96.64212703704834
128,0.1,0.995,10,50,0.0020853497218340637,96.82992744445801
128,0.1,0.99,10,50,0.002043733469831447,96.34915828704834
128,0.1,0.985,10,50,0.00214697459153831,96.78485584259033
128,0.1,0.98,10,50,0.0025678754759331543,96.44681453704834
128,0.1,0.995,25,50,0.0012060066632305583,96.98016834259033
128,0.1,0.99,25,50,0.0010138101105888685,97.05528831481934
128,0.1,0.985,25,50,0.0012981141026442249,96.83743953704834
128,0.1,0.98,25,50,0.0012192514976486564,97.07782459259033
128,0.1,0.995,50,50,0.0013322149297843376,97.00270366668701
128,0.1,0.99,50,50,0.0011249758551518123,96.90504741668701
128,0.1,0.985,50,50,0.0012192081188162167,97.68629741668701
128,0.1,0.98,50,50,0.0011307802063723405,97.29567241668701
128,0.05,0.995,5,5,0.07578650361299515,92.84104537963867
128,0.05,0.99,5,5,0.07045726803938548,94.52373790740967
128,0.05,0.985,5,5,0.07097283424933751,93.54717540740967
128,0.05,0.98,5,5,0.07512381108601889,94.08804035186768
128,0.05,0.995,10,5,0.03463149519264698,95.59044456481934
128,0.05,0.99,10,5,0.03870098685224851,95.68810081481934
128,0.05,0.985,10,5,0.04016239622235298,95.35005950927734
128,0.05,0.98,10,5,0.03785030694802602,95.56790828704834
128,0.05,0.995,25,5,0.016604096040129662,96.58954334259033
128,0.05,0.99,25,5,0.017779413824280103,96.66466331481934
128,0.05,0.985,25,5,0.015936590438087782,96.05618953704834
128,0.05,0.98,25,5,0.0133939521809419,96.46935081481934
128,0.05,0.995,50,5,0.017278743520379065,96.31910991668701
128,0.05,0.99,50,5,0.019153055240710575,96.07872581481934
128,0.05,0.985,50,5,0.01689065949370464,96.90504741668701
128,0.05,0.98,50,5,0.018524208893378576,96.00360584259033
128,0.05,0.995,5,10,0.04370262469847997,94.47115325927734
128,0.05,0.99,5,10,0.04597793976465861,94.51622581481934
128,0.05,0.985,5,10,0.04380672130982081,94.78665828704834
128,0.05,0.98,5,10,0.044064291963974635,94.98197078704834
128,0.05,0.995,10,10,0.019740260956188044,95.42518043518066
128,0.05,0.99,10,10,0.02043110851943493,95.92848491668701
128,0.05,0.985,10,10,0.020114912730952103,95.85336494445801
128,0.05,0.98,10,10,0.01702923034131527,95.56790828704834
128,0.05,0.995,25,10,0.007161244230965773,96.68719959259033
