batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_acc
64,0.01,0.995,5,5,0.12093409295876821,93.22265625
64,0.01,0.99,5,5,0.1145580018957456,93.7890625
64,0.01,0.985,5,5,0.1172833881576856,93.671875
64,0.01,0.98,5,5,0.1200310165087382,93.06640625
64,0.01,0.995,10,5,0.06766803535819053,94.94140625
64,0.01,0.99,10,5,0.07198067797223727,93.80859375
64,0.01,0.985,10,5,0.06643021174271901,95.64453125
64,0.01,0.98,10,5,0.06400221951802572,95.25390625
64,0.01,0.995,25,5,0.02194917065401872,96.42578125
64,0.01,0.99,25,5,0.022830068039397397,96.1328125
64,0.01,0.985,25,5,0.02764137108127276,96.23046875
64,0.01,0.98,25,5,0.026871986826260883,95.546875
64,0.01,0.995,50,5,0.0196258273050189,96.62109375
64,0.01,0.99,50,5,0.01644607328871886,96.42578125
64,0.01,0.985,50,5,0.01585367906590303,96.5234375
64,0.01,0.98,50,5,0.017846188983569544,96.03515625
