batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_acc
128,0.2,0.995,5,5,0.042052417794863385,94.86177825927734
128,0.2,0.99,5,5,0.03651048603653908,94.90685081481934
128,0.2,0.985,5,5,0.04102483105659485,94.20072078704834
128,0.2,0.98,5,5,0.034903627713521325,95.59044456481934
128,0.2,0.995,10,5,0.022272866636514663,96.29657459259033
128,0.2,0.99,10,5,0.020072595318158467,96.41676616668701
128,0.2,0.985,10,5,0.02105189973115921,96.17638206481934
128,0.2,0.98,10,5,0.02939491136620442,95.39513206481934
128,0.2,0.995,25,5,0.01621199921766917,96.17638206481934
128,0.2,0.99,25,5,0.018160033792257307,96.37169456481934
128,0.2,0.985,25,5,0.015848925918340685,96.29657459259033
128,0.2,0.98,25,5,0.028798873315254846,95.78575706481934
128,0.2,0.995,50,5,0.02962856454650561,95.02704334259033
128,0.2,0.99,50,5,0.03316139640410741,96.22145366668701
128,0.2,0.985,50,5,0.020523180852333706,96.19891834259033
128,0.2,0.98,50,5,0.0235329692363739,95.56790828704834
