batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_acc
32,0.2,0.995,5,5,0.09904879212751985,94.82421875
32,0.2,0.99,5,5,0.08984846944268793,94.921875
32,0.2,0.985,5,5,0.07576601187853764,95.3125
32,0.2,0.98,5,5,0.08357057466163921,94.23828125
32,0.2,0.995,10,5,0.06070081869716523,94.43359375
32,0.2,0.99,10,5,0.07702366734681224,95.21484375
32,0.2,0.985,10,5,0.06360182609110294,95.80078125
32,0.2,0.98,10,5,0.08808950363347928,94.62890625
32,0.2,0.995,25,5,0.11026707468631988,95.80078125
32,0.2,0.99,25,5,0.09070462403295096,95.80078125
32,0.2,0.985,25,5,0.09272023734343626,95.01953125
32,0.2,0.98,25,5,0.06885939134606936,96.19140625
32,0.2,0.995,50,5,0.07281549224304035,94.23828125
32,0.2,0.99,50,5,0.0699249671929671,94.921875
32,0.2,0.985,50,5,0.08093482464086264,94.921875
32,0.2,0.98,50,5,0.07874216532094094,94.3359375
32,0.2,0.995,5,10,0.018250121841789223,95.8984375
32,0.2,0.99,5,10,0.014714374507699782,96.58203125
32,0.2,0.985,5,10,0.018998750044964253,97.0703125
32,0.2,0.98,5,10,0.017104901002758802,97.0703125
32,0.2,0.995,10,10,0.009766942623716508,97.0703125
32,0.2,0.99,10,10,0.010432345239484372,96.875
32,0.2,0.985,10,10,0.00966985010561378,97.8515625
32,0.2,0.98,10,10,0.012120363102381817,97.0703125
32,0.2,0.995,25,10,0.008357773823974034,96.6796875
32,0.2,0.99,25,10,0.008836002475077596,96.97265625
32,0.2,0.985,25,10,0.011385320840451943,97.0703125
32,0.2,0.98,25,10,0.007600093517927841,97.36328125
32,0.2,0.995,50,10,0.012458045365138485,95.80078125
32,0.2,0.99,50,10,0.012434396446527293,97.265625
32,0.2,0.985,50,10,0.011801281598726442,96.58203125
32,0.2,0.98,50,10,0.009550534314335285,96.97265625
32,0.2,0.995,5,25,0.013987252237585684,96.19140625
32,0.2,0.99,5,25,0.01542370582309862,96.58203125
32,0.2,0.985,5,25,0.012350793415990968,96.6796875
32,0.2,0.98,5,25,0.016704029177625975,96.58203125
32,0.2,0.995,10,25,0.009569217018162211,96.97265625
32,0.2,0.99,10,25,0.009448326037575802,97.65625
32,0.2,0.985,10,25,0.007871735846002897,97.55859375
32,0.2,0.98,10,25,0.009753480587154627,97.265625
32,0.2,0.995,25,25,0.01395747596025467,97.55859375
32,0.2,0.99,25,25,0.01133360933015744,97.265625
32,0.2,0.985,25,25,0.011364070359462252,96.6796875
32,0.2,0.98,25,25,0.0078081891670202215,97.36328125
32,0.2,0.995,50,25,0.00594665636587888,96.875
32,0.2,0.99,50,25,0.005657039442720512,97.4609375
32,0.2,0.985,50,25,0.006398496436265608,97.36328125
32,0.2,0.98,50,25,0.0071469203690066934,97.0703125
32,0.2,0.995,5,50,0.00655313229529808,97.94921875
32,0.2,0.99,5,50,0.008154399902094156,97.265625
32,0.2,0.985,5,50,0.006629371833987534,97.55859375
32,0.2,0.98,5,50,0.006420102617392938,97.16796875
32,0.2,0.995,10,50,0.003744169533873598,97.55859375
32,0.2,0.99,10,50,0.004278068432273964,97.65625
32,0.2,0.985,10,50,0.0037139020638229945,98.14453125
32,0.2,0.98,10,50,0.004441041448929658,97.94921875
32,0.2,0.995,25,50,0.0033394930545861522,97.8515625
32,0.2,0.99,25,50,0.0037643762823815147,97.36328125
32,0.2,0.985,25,50,0.0034786255216846863,97.94921875
32,0.2,0.98,25,50,0.003349343707319349,97.4609375
32,0.2,0.995,50,50,0.003446704738462965,97.4609375
32,0.2,0.99,50,50,0.003848179874010384,97.65625
32,0.2,0.985,50,50,0.0035720766860370835,97.65625
32,0.2,0.98,50,50,0.004000833671229581,96.97265625
32,0.1,0.995,5,5,0.0701030428831776,94.3359375
32,0.1,0.99,5,5,0.051870100749035676,95.8984375
32,0.1,0.985,5,5,0.05417828403164943,95.80078125
32,0.1,0.98,5,5,0.05945083073743929,96.6796875
32,0.1,0.995,10,5,0.04244779261946678,96.2890625
32,0.1,0.99,10,5,0.043561900094306716,95.8984375
32,0.1,0.985,10,5,0.03483261862583458,96.38671875
32,0.1,0.98,10,5,0.04404039975286772,96.97265625
32,0.1,0.995,25,5,0.043388085544264564,95.99609375
32,0.1,0.99,25,5,0.03132169140114759,96.77734375
32,0.1,0.985,25,5,0.04671955495824417,96.484375
32,0.1,0.98,25,5,0.03255065749647717,97.0703125
32,0.1,0.995,50,5,0.036184511748142544,95.703125
